CUSTOMERNAME,SALES,PHONE,CITY,STATE,COUNTRY,POSTALCODE
Reims Collectables                 ,1295.1,26.47.1555       ,Reims          ,               ,France         ,51100       
"Anna's Decorations, Ltd            ",2671.9,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Heintze Collectables               ,1226.6,86 21 3555       ,?rhus          ,               ,Denmark        ,8200        
Gift Depot Inc.                    ,1453.8,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
Herkku Gifts                       ,1830.2,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Online Diecast Creations Co.       ,2530,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Muscle Machine Inc                 ,2241.4,2125557413       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,2399.8,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Collectable Mini Designs Co.       ,1557.7,7605558146       ,San Diego      ,CA             ,USA            ,91217       
Mini Caravy                        ,845.2,88.60.1555       ,Strasbourg     ,               ,France         ,67000       
L'ordine Souveniers                ,1352.4,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Signal Gift Stores                 ,1584.8,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
Handji Gifts& Co                   ,2616,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
"Norway Gifts By Mail, Co.          ",1129,+47 2212 1555    ,Oslo           ,               ,Norway         ,N 0106      
Euro+ Shopping Channel             ,2218.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
FunGiftIdeas.com                   ,2028.5,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
"AV Stores, Co.                     ",1759.2,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Reims Collectables                 ,977.7,26.47.1555       ,Reims          ,               ,France         ,51100       
Toys4GrownUps.com                  ,1463,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Euro+ Shopping Channel             ,3970.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
The Sharp Gifts Warehouse          ,2576,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Souveniers And Things Co.          ,2233.7,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Rovelli Gifts                      ,2481.6,035-640555       ,Bergamo        ,               ,Italy          ,24100       
"Australian Collectors, Co.         ",4651.5,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Euro+ Shopping Channel             ,3858.1,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Toys4GrownUps.com                  ,3501.6,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Technics Stores Inc.               ,6433.7,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Osaka Souveniers Co.               ,2659,+81 06 6342 5555 ,Osaka          ,Osaka          ,Japan          ,530-0003    
"Australian Collectors, Co.         ",3608.8,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
"Royal Canadian Collectables, Ltd.  ",2214.7,(604) 555-4555   ,Tsawassen      ,BC             ,Canada         ,T2F 8M4     
The Sharp Gifts Warehouse          ,2747.5,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Euro+ Shopping Channel             ,3310.9,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
La Rochelle Gifts                  ,2380,40.67.8555       ,Nantes         ,               ,France         ,44000       
"Norway Gifts By Mail, Co.          ",2310.9,+47 2212 1555    ,Oslo           ,               ,Norway         ,N 0106      
"Clover Collections, Co.            ",4061.8,+353 1862 1555   ,Dublin         ,               ,Ireland        ,2           
Mini Classics                      ,3493.7,9145554562       ,White Plains   ,NY             ,USA            ,24067       
giftsbymail.co.uk                  ,2872.2,(198) 555-8888   ,Cowes          ,Isle of Wight  ,UK             ,PO31 7PJ    
Rovelli Gifts                      ,4114.4,035-640555       ,Bergamo        ,               ,Italy          ,24100       
"Tokyo Collectables, Ltd            ",1063.7,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Gift Ideas Corp.                   ,2008.4,2035554407       ,Glendale       ,CT             ,USA            ,97561       
"Australian Gift Network, Co        ",4328.6,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
Euro+ Shopping Channel             ,1376.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Reims Collectables                 ,5552.2,26.47.1555       ,Reims          ,               ,France         ,51100       
Tekni Collectables Inc.            ,3659,2015559350       ,Newark         ,NJ             ,USA            ,94019       
L'ordine Souveniers                ,4165.6,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
"Blauer See Auto, Co.               ",1404,+49 69 66 90 2555,Frankfurt      ,               ,Germany        ,60528       
"AV Stores, Co.                     ",710.2,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Signal Gift Stores                 ,1702.8,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
Signal Collectibles Ltd.           ,1194.8,4155554312       ,Brisbane       ,CA             ,USA            ,94217       
Corporate Gift Ideas Co.           ,1007.1,6505551386       ,San Francisco  ,CA             ,USA            ,            
Rovelli Gifts                      ,977.4,035-640555       ,Bergamo        ,               ,Italy          ,24100       
Mini Gifts Distributors Ltd.       ,1436.8,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Australian Collectables, Ltd       ",759.5,61-9-3844-6555   ,Glen Waverly   ,Victoria       ,Australia      ,3150        
Euro+ Shopping Channel             ,1189.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Corrida Auto Replicas, Ltd         ",683.8,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
"Saveley & Henriot, Co.             ",1226.8,78.32.5555       ,Lyon           ,               ,France         ,69004       
Diecast Collectables               ,974.8,6175552555       ,Boston         ,MA             ,USA            ,51003       
Amica Models & Co.                 ,577.6,011-4988555      ,Torino         ,               ,Italy          ,10100       
Handji Gifts& Co                   ,1106.9,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Auto Associ‚s & Cie.               ,694.6,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,1152.1,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,2624,6035558647       ,Nashua         ,NH             ,USA            ,62005       
"AV Stores, Co.                     ",3685.9,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Marseille Mini Autos               ,703.6,91.24.4555       ,Marseille      ,               ,France         ,13008       
Lyon Souveniers                    ,9720,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,834.7,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Euro+ Shopping Channel             ,2257.9,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Anna's Decorations, Ltd            ",8344.7,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Handji Gifts& Co                   ,1801.9,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Souveniers And Things Co.          ,1209.6,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Land of Toys Inc.                  ,3155.1,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Australian Collectors, Co.         ",2848.9,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Lyon Souveniers                    ,3570.3,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,3902.4,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Baane Mini Imports                 ,1474.7,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Technics Stores Inc.               ,2186.9,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Daedalus Designs Imports           ,1919.4,20.16.1555       ,Lille          ,               ,France         ,59000       
Herkku Gifts                       ,3656,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Mini Wheels Co.                    ,1847,6505555787       ,San Francisco  ,CA             ,USA            ,            
Osaka Souveniers Co.               ,1851,+81 06 6342 5555 ,Osaka          ,Osaka          ,Japan          ,530-0003    
"Australian Collectors, Co.         ",2633.8,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Motor Mint Distributors Inc.       ,3153.6,2155559857       ,Philadelphia   ,PA             ,USA            ,71270       
The Sharp Gifts Warehouse          ,2803.2,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Gift Depot Inc.                    ,2311,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
La Rochelle Gifts                  ,2399.4,40.67.8555       ,Nantes         ,               ,France         ,44000       
Marta's Replicas Co.               ,2733.1,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
"Clover Collections, Co.            ",2096.3,+353 1862 1555   ,Dublin         ,               ,Ireland        ,2           
Mini Classics                      ,2971.3,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Diecast Classics Inc.              ,2257.6,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Land of Toys Inc.                  ,3493.9,2125557818       ,NYC            ,NY             ,USA            ,10022       
Enaco Distributors                 ,4398.9,(93) 203 4555    ,Barcelona      ,               ,Spain          ,08022       
Suominen Souveniers                ,3595.6,+358 9 8045 555  ,Espoo          ,               ,Finland        ,FIN-02271   
La Rochelle Gifts                  ,2443.3,40.67.8555       ,Nantes         ,               ,France         ,44000       
Scandinavian Gift Ideas            ,3988.6,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Canal+ Petit                  ,5168.4,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
L'ordine Souveniers                ,2803.2,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Danish Wholesale Imports           ,6341.2,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
"Dragon Souveniers, Ltd.            ",5189.8,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
"Stylish Desk Decors, Co.           ",6027.8,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
Mini Gifts Distributors Ltd.       ,3366,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,5456.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Scandinavian Gift Ideas            ,3812.2,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
CAF Imports                        ,6083,+34 913 728 555  ,Madrid         ,               ,Spain          ,28023       
Mini Creations Ltd.                ,3170.7,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
Enaco Distributors                 ,4534.6,(93) 203 4555    ,Barcelona      ,               ,Spain          ,08022       
"Saveley & Henriot, Co.             ",4301.1,78.32.5555       ,Lyon           ,               ,France         ,69004       
Petit Auto                         ,6804.6,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
giftsbymail.co.uk                  ,5652.9,(198) 555-8888   ,Cowes          ,Isle of Wight  ,UK             ,PO31 7PJ    
Land of Toys Inc.                  ,6960.5,2125557818       ,NYC            ,NY             ,USA            ,10022       
Qu‚bec Home Shopping Network       ,4512.6,(514) 555-8054   ,Montr‚al       ,Qu‚bec         ,Canada         ,H1J 1C3     
Petit Auto                         ,2784.8,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
"Royal Canadian Collectables, Ltd.  ",5316.4,(604) 555-4555   ,Tsawassen      ,BC             ,Canada         ,T2F 8M4     
Amica Models & Co.                 ,2941.9,011-4988555      ,Torino         ,               ,Italy          ,10100       
"AV Stores, Co.                     ",3207.4,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
La Rochelle Gifts                  ,4215.1,40.67.8555       ,Nantes         ,               ,France         ,44000       
"Volvo Model Replicas, Co           ",4333.3,0921-12 3555     ,Lule†          ,               ,Sweden         ,S-958 22    
Classic Legends Inc.               ,2087.1,2125558493       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,1711.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Tokyo Collectables, Ltd            ",3910.5,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Corporate Gift Ideas Co.           ,2255.1,6505551386       ,San Francisco  ,CA             ,USA            ,            
Mini Gifts Distributors Ltd.       ,5720.8,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Gifts4AllAges.com                  ,3335.2,6175559555       ,Boston         ,MA             ,USA            ,51003       
"Blauer See Auto, Co.               ",2473,+49 69 66 90 2555,Frankfurt      ,               ,Germany        ,60528       
"AV Stores, Co.                     ",1729.7,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Signal Gift Stores                 ,995.5,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
Signal Collectibles Ltd.           ,2414.7,4155554312       ,Brisbane       ,CA             ,USA            ,94217       
Corporate Gift Ideas Co.           ,1560.5,6505551386       ,San Francisco  ,CA             ,USA            ,            
Rovelli Gifts                      ,1112.9,035-640555       ,Bergamo        ,               ,Italy          ,24100       
Mini Gifts Distributors Ltd.       ,1138.9,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Australian Collectables, Ltd       ",1012.4,61-9-3844-6555   ,Glen Waverly   ,Victoria       ,Australia      ,3150        
Euro+ Shopping Channel             ,913.9,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Corrida Auto Replicas, Ltd         ",2349.1,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
"Saveley & Henriot, Co.             ",1161.1,78.32.5555       ,Lyon           ,               ,France         ,69004       
Euro+ Shopping Channel             ,1764.8,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Caravy                        ,1690.9,88.60.1555       ,Strasbourg     ,               ,France         ,67000       
Amica Models & Co.                 ,2137.1,011-4988555      ,Torino         ,               ,Italy          ,10100       
Herkku Gifts                       ,2177.1,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Auto Associ‚s & Cie.               ,1734.5,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,865.5,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,3500.1,6035558647       ,Nashua         ,NH             ,USA            ,62005       
"AV Stores, Co.                     ",2223.5,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Atelier graphique                  ,2311.7,40.32.2555       ,Nantes         ,               ,France         ,44000       
Lyon Souveniers                    ,828.4,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,856.5,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Euro+ Shopping Channel             ,1845.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Anna's Decorations, Ltd            ",4042.1,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Mini Gifts Distributors Ltd.       ,1828,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Baane Mini Imports                 ,3680.3,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
"La Corne D'abondance, Co.          ",2925.1,(1) 42.34.2555   ,Paris          ,               ,France         ,75012       
"Corrida Auto Replicas, Ltd         ",3415.8,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Technics Stores Inc.               ,5105.1,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
"Oulu Toy Supplies, Inc.            ",5098.8,981-443655       ,Oulu           ,               ,Finland        ,90110       
"Dragon Souveniers, Ltd.            ",4661.8,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
"Stylish Desk Decors, Co.           ",2970,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
"Iberia Gift Imports, Corp.         ",3496.3,(95) 555 82 82   ,Sevilla        ,               ,Spain          ,41101       
"Saveley & Henriot, Co.             ",5760.9,78.32.5555       ,Lyon           ,               ,France         ,69004       
Diecast Collectables               ,6819,6175552555       ,Boston         ,MA             ,USA            ,51003       
Handji Gifts& Co                   ,3148.9,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Mini Gifts Distributors Ltd.       ,5704.3,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,3520.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Handji Gifts& Co                   ,5285.6,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Mini Gifts Distributors Ltd.       ,5605.1,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Diecast Classics Inc.              ,2779.5,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Scandinavian Gift Ideas            ,5398.1,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Marta's Replicas Co.               ,3189.6,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
Canadian Gift Exchange Network     ,5581.8,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
Vitachrome Inc.                    ,3820.4,2125551500       ,NYC            ,NY             ,USA            ,10022       
"Volvo Model Replicas, Co           ",5528,0921-12 3555     ,Lule†          ,               ,Sweden         ,S-958 22    
"Corrida Auto Replicas, Ltd         ",5981.4,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Euro+ Shopping Channel             ,5684.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Gifts Distributors Ltd.       ,3449.4,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Mini Gifts Distributors Ltd.       ,2654.4,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,8498,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
La Rochelle Gifts                  ,5510.5,40.67.8555       ,Nantes         ,               ,France         ,44000       
Cruz & Sons Co.                    ,2060.4,+63 2 555 3587   ,Makati City    ,               ,Philippines    ,1227 MM     
Reims Collectables                 ,2460.2,26.47.1555       ,Reims          ,               ,France         ,51100       
Mini Gifts Distributors Ltd.       ,1787.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Toys4GrownUps.com                  ,1645.7,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Corporate Gift Ideas Co.           ,2169.2,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",2816.2,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Daedalus Designs Imports           ,2521.1,20.16.1555       ,Lille          ,               ,France         ,59000       
Euro+ Shopping Channel             ,3200,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Auto Canal+ Petit                  ,1338.1,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
Daedalus Designs Imports           ,2972.6,20.16.1555       ,Lille          ,               ,France         ,59000       
Vitachrome Inc.                    ,2070.9,2125551500       ,NYC            ,NY             ,USA            ,10022       
Auto Canal+ Petit                  ,3092.6,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
Gifts4AllAges.com                  ,2408.7,6175559555       ,Boston         ,MA             ,USA            ,51003       
Online Mini Collectables           ,3472.5,6175557555       ,Brickhaven     ,MA             ,USA            ,58339       
Marta's Replicas Co.               ,2263.3,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
"Toys of Finland, Co.               ",2194.2,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Baane Mini Imports                 ,1346.4,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Microscale Inc.                    ,2533.6,2125551957       ,NYC            ,NY             ,USA            ,10022       
Cruz & Sons Co.                    ,3403.3,+63 2 555 3587   ,Makati City    ,               ,Philippines    ,1227 MM     
Salzburg Collectables              ,3307.2,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Euro+ Shopping Channel             ,2896.7,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Suominen Souveniers                ,2632.9,+358 9 8045 555  ,Espoo          ,               ,Finland        ,FIN-02271   
La Rochelle Gifts                  ,2046,40.67.8555       ,Nantes         ,               ,France         ,44000       
Mini Gifts Distributors Ltd.       ,2279.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"UK Collectables, Ltd.              ",2150.6,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
"AV Stores, Co.                     ",3360.4,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Signal Gift Stores                 ,2326.4,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
"Anna's Decorations, Ltd            ",1545.6,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Heintze Collectables               ,2144.6,86 21 3555       ,?rhus          ,               ,Denmark        ,8200        
Gift Depot Inc.                    ,1639.2,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
Mini Gifts Distributors Ltd.       ,2649.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Online Diecast Creations Co.       ,3845.6,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Muscle Machine Inc                 ,4527,2125557413       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,3966.3,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Saveley & Henriot, Co.             ",4142.6,78.32.5555       ,Lyon           ,               ,France         ,69004       
Mini Caravy                        ,4441.5,88.60.1555       ,Strasbourg     ,               ,France         ,67000       
Muscle Machine Inc                 ,3315.1,2125557413       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,3918.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Handji Gifts& Co                   ,2830.4,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
"UK Collectables, Ltd.              ",5298.9,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
Euro+ Shopping Channel             ,2620.8,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
FunGiftIdeas.com                   ,2181,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
"AV Stores, Co.                     ",3382.1,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Signal Gift Stores                 ,2876.8,7025551838       ,Las Vegas      ,NV             ,USA            ,83030       
Mini Gifts Distributors Ltd.       ,4107.2,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,1350,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
The Sharp Gifts Warehouse          ,7182,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Souveniers And Things Co.          ,3933.9,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Euro+ Shopping Channel             ,1742.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"La Corne D'abondance, Co.          ",721.4,(1) 42.34.2555   ,Paris          ,               ,France         ,75012       
Muscle Machine Inc                 ,1489.4,2125557413       ,NYC            ,NY             ,USA            ,10022       
Suominen Souveniers                ,891,+358 9 8045 555  ,Espoo          ,               ,Finland        ,FIN-02271   
"Oulu Toy Supplies, Inc.            ",1209.3,981-443655       ,Oulu           ,               ,Finland        ,90110       
"Dragon Souveniers, Ltd.            ",859.1,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
"Stylish Desk Decors, Co.           ",1151.4,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
"Iberia Gift Imports, Corp.         ",1336.4,(95) 555 82 82   ,Sevilla        ,               ,Spain          ,41101       
Mini Classics                      ,905.3,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Diecast Collectables               ,1247.4,6175552555       ,Boston         ,MA             ,USA            ,51003       
Signal Collectibles Ltd.           ,846.5,4155554312       ,Brisbane       ,CA             ,USA            ,94217       
Mini Gifts Distributors Ltd.       ,1085,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,1767.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Handji Gifts& Co                   ,1030.4,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Mini Gifts Distributors Ltd.       ,1585.4,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Diecast Classics Inc.              ,813.2,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Land of Toys Inc.                  ,1172.3,2125557818       ,NYC            ,NY             ,USA            ,10022       
Marta's Replicas Co.               ,1510.6,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
Heintze Collectables               ,1448.1,86 21 3555       ,?rhus          ,               ,Denmark        ,8200        
Vitachrome Inc.                    ,3338.1,2125551500       ,NYC            ,NY             ,USA            ,10022       
Mini Gifts Distributors Ltd.       ,1225.3,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Muscle Machine Inc                 ,1336.7,2125557413       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,2985.8,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Mini Gifts Distributors Ltd.       ,5545.8,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,6089.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Euro+ Shopping Channel             ,1789.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Euro+ Shopping Channel             ,1082.1,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
La Rochelle Gifts                  ,1030.4,40.67.8555       ,Nantes         ,               ,France         ,44000       
Rovelli Gifts                      ,3659.3,035-640555       ,Bergamo        ,               ,Italy          ,24100       
Salzburg Collectables              ,2443.6,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Gift Ideas Corp.                   ,2349.9,2035554407       ,Glendale       ,CT             ,USA            ,97561       
Mini Creations Ltd.                ,1646.2,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
"Toys of Finland, Co.               ",1670.3,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Scandinavian Gift Ideas            ,1467.5,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Alpha Cognac                       ,2748.6,61.77.6555       ,Toulouse       ,               ,France         ,31000       
"Double Decker Gift Stores, Ltd     ",1522.4,(171) 555-7555   ,London         ,               ,UK             ,WA1 1DP     
Cruz & Sons Co.                    ,3255.4,+63 2 555 3587   ,Makati City    ,               ,Philippines    ,1227 MM     
"Men 'R' US Retailers, Ltd.         ",3535,2155554369       ,Los Angeles    ,CA             ,USA            ,            
Collectable Mini Designs Co.       ,2609,7605558146       ,San Diego      ,CA             ,USA            ,91217       
Cambridge Collectables Co.         ,1356.4,6175555555       ,Cambridge      ,MA             ,USA            ,51247       
Euro+ Shopping Channel             ,1611.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Collectables For Less Inc.         ,2603.2,6175558555       ,Brickhaven     ,MA             ,USA            ,58339       
"Norway Gifts By Mail, Co.          ",2219.7,+47 2212 1555    ,Oslo           ,               ,Norway         ,N 0106      
"Bavarian Collectables Imports, Co. ",1496.2,+49 89 61 08 9555,Munich         ,               ,Germany        ,80686       
"Classic Gift Ideas, Inc            ",1884,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
giftsbymail.co.uk                  ,2166.1,(198) 555-8888   ,Cowes          ,Isle of Wight  ,UK             ,PO31 7PJ    
Rovelli Gifts                      ,2828.2,035-640555       ,Bergamo        ,               ,Italy          ,24100       
"Tokyo Collectables, Ltd            ",6214.4,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
"Stylish Desk Decors, Co.           ",1867,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
"Oulu Toy Supplies, Inc.            ",2676.7,981-443655       ,Oulu           ,               ,Finland        ,90110       
Euro+ Shopping Channel             ,2182.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Reims Collectables                 ,1611.4,26.47.1555       ,Reims          ,               ,France         ,51100       
The Sharp Gifts Warehouse          ,1479.8,4085553659       ,San Jose       ,CA             ,USA            ,94217       
